date,AQI,temp,humidity,wind
2025-10-20,32.5,14.545833333333334,57.958333333333336,12.904166666666669
2025-10-21,42.16666666666666,14.033333333333331,63.29166666666666,5.829166666666667
2025-10-22,36.458333333333336,14.575,57.583333333333336,8.083333333333334
2025-10-23,31.875,12.495833333333332,50.625,8.733333333333333
2025-10-24,38.54166666666666,9.4625,57.083333333333336,7.866666666666667
2025-10-25,42.41666666666666,10.1375,60.208333333333336,3.591666666666667
2025-10-26,68.58333333333333,10.308333333333334,62.25,4.145833333333333
2025-10-27,64.83333333333333,9.908333333333331,61.25,7.216666666666666
2025-10-28,33.875,10.220833333333331,62.458333333333336,13.545833333333334
2025-10-29,24.45833333333333,11.6,70.58333333333333,13.254166666666668
2025-10-30,28.95833333333333,14.758333333333333,81.375,11.941666666666668
2025-10-31,29.25,12.729166666666666,48.458333333333336,19.58333333333333
2025-11-01,29.541666666666668,11.708333333333334,50.375,8.995833333333334
2025-11-02,54.458333333333336,11.966666666666669,55.04166666666666,4.670833333333333
2025-11-03,45.29166666666666,13.691666666666668,63.458333333333336,6.670833333333333
2025-11-04,28.375,12.358333333333334,37.208333333333336,9.095833333333331
2025-11-05,36.833333333333336,13.270833333333334,52.16666666666666,10.3
2025-11-06,33.916666666666664,11.5,38.75,13.916666666666666
2025-11-07,53.5,10.704166666666666,58.25,10.1625
2025-11-08,35.625,15.941666666666668,65.20833333333333,5.529166666666666
2025-11-09,47.208333333333336,13.4375,82.83333333333333,6.716666666666666
2025-11-10,41.708333333333336,7.475,50.583333333333336,18.15
2025-11-11,29.08333333333333,2.825,41.91666666666666,17.1375
2025-11-12,25.83333333333333,9.333333333333334,38.04166666666666,11.0625
2025-11-13,26.166666666666668,10.154166666666669,36.208333333333336,11.545833333333334
2025-11-14,25.041666666666668,8.245833333333334,47.208333333333336,5.933333333333334
2025-11-15,53.66666666666666,11.9875,56.125,5.9875
2025-11-16,40.91666666666666,14.175,40.875,20.90833333333333
2025-11-17,30.70833333333333,6.733333333333333,39.66666666666666,12.545833333333334
2025-11-18,27.375,4.908333333333333,58.458333333333336,6.0125
2025-11-19,31.08333333333333,6.520833333333333,88.625,8.929166666666667
